duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,department_change,division_change,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
119,.under_1,Children Services,14.4364,2,F,,U,G,30_to_34,30_to_34,Staff,1,1,0.003667226890756309,63.36549768518518,wop6wqjCmMKHwqU=,Retirement
118,.under_1,Adult Services,25.7097,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,118.3654976851852,wop6wqjCmMKHwqQ=,Retirement
104,.under_1,Children Services,26.7381,2,F,WHITE,U,A,40_to_44,40_to_44,Staff,1,1,0.03709711538461539,20.365497685185183,wop6wqjCl8KGwqA=,Retirement
118,.under_1,Adult Services,20.0,2,M,,U,A,45_to_49,45_to_49,Staff,1,1,0.047149152542372876,48.36549768518518,wop6wqjCl8KEwqI=,Retirement
118,.under_1,Children Services,26.7381,1,M,NSPEC,U,A,50_to_54,50_to_54,Staff,0,0,0.0,118.3654976851852,wop6wqjCl8KDwqI=,Retirement
104,.under_1,Children Services,26.7381,1,M,NSPEC,U,A,50_to_54,50_to_54,Staff,0,0,0.0,104.3654976851852,wop6wqjClsKIwqU=,Retirement
104,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,104.3654976851852,wop6wqjClsKIwqQ=,Retirement
118,.under_1,Children Services,26.7381,1,M,NSPEC,U,A,45_to_49,45_to_49,Staff,0,0,0.0,118.3654976851852,wop6wqjClsKIwp4=,Retirement
119,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,119.3654976851852,wop6wqjClsKIwp0=,Retirement
119,.under_1,Adult Services,31.2798,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0,0,0.0,119.3654976851852,wop6wqjClsKHwqY=,Retirement
118,.under_1,Children Services,32.531,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0,0,0.0,118.3654976851852,wop6wqjClsKHwqQ=,Retirement
118,.under_1,Children Services,36.5929,1,M,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,118.3654976851852,wop6wqjClsKHwqM=,Retirement
104,.under_1,Children Services,25.7097,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,104.3654976851852,wop6wqjClsKHwqI=,Retirement
118,.under_1,Children Services,35.1855,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,118.3654976851852,wop6wqjClsKHwqE=,Retirement
118,.under_1,Children Services,26.7381,1,F,ASIAN,U,A,40_to_44,40_to_44,Staff,0,0,0.0,118.3654976851852,wop6wqjClcKIwp4=,Retirement
118,.under_1,Children Services,35.1855,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0,0,0.0,118.3654976851852,wop6wqjClcKHwqQ=,Retirement
118,.under_1,Adult Services,26.7391,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0,1,0.0,118.36549768518518,wop6wqjClcKHwqI=,Retirement
118,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0,0,0.0,118.3654976851852,wop6wqjClcKEwqM=,Retirement
118,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0,0,0.0,118.36549768518519,wop6wqjClcKEwqI=,Retirement
