duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,48.0,wop6wqXCmcKLwqA=,V Termination
226,.under_1,Self Sufficiency,16.887069,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,226.0,wop6wqXCmcKLwp4=,V Termination
313,.under_1,Self Sufficiency,17.562552,2,M,HISPA,U,A,35_to_39,35_to_39,Staff,0.002158092651757188,313.0,wop6wqXCmcKKwqI=,IV Termination
283,.under_1,Self Sufficiency,16.887069,1,M,HISPA,U,A,30_to_34,30_to_34,Staff,0.0,283.0,wop6wqXCmcKJwqA=,V Termination
72,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,72.0,wop6wqXCmcKJwp8=,V Termination
351,.under_1,Self Sufficiency,17.562552,2,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.004432626780626785,351.0,wop6wqXCmcKHwp8=,V Termination
377,1_to_2,Self Sufficiency,17.562552,1,F,BLACK,U,A,35_to_39,35_to_39,Staff,0.0,377.0,wop6wqXCmcKGwp8=,IV Termination
1,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,50_to_54,50_to_54,Staff,0.0,1.0,wop6wqXCmcKGwp4=,V Termination
83,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,83.0,wop6wqXCmcKGwp0=,V Termination
117,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,117.0,wop6wqXCmcKFwqU=,V Termination
252,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,252.0,wop6wqXCmcKFwqQ=,IV Termination
104,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,104.0,wop6wqXCmcKFwqA=,V Termination
65,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,65.0,wop6wqXCmcKFwp8=,V Termination
104,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0.0,104.0,wop6wqXCmcKEwqY=,V Termination
110,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,55_to_59,55_to_59,Staff,0.0,110.0,wop6wqXCmcKEwqU=,V Termination
336,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0026201458333333385,336.0,wop6wqXCmcKEwqE=,V Termination
146,.under_1,Self Sufficiency,16.0067,1,F,HISPA,U,A,.under_29,.under_29,Staff,0.0,146.0,wop6wqXCmcKDwqY=,V Termination
255,.under_1,Adult Services,18.7559,2,F,,U,A,30_to_34,.under_29,Staff,0.01642274509803922,78.0,wop6wqXCmcKDwqA=,V Termination
